time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),precipitation_sum (mm)
1993-01-01,21.9,9.1,15.4,21.8,8.2,15.2,0.00
1993-01-02,22.3,9.8,15.7,21.2,8.9,15.2,0.00
1993-01-03,23.9,9.2,16.9,24.0,8.2,16.6,0.00
1993-01-04,23.3,9.3,16.1,22.0,8.0,15.1,0.00
1993-01-05,20.5,8.1,14.6,19.7,6.8,13.7,0.00
1993-01-06,19.1,8.8,14.2,18.8,7.9,14.0,6.70
1993-01-07,18.1,11.3,14.6,16.5,10.7,13.7,4.20
1993-01-08,15.8,10.0,12.9,16.3,8.9,12.9,14.80
1993-01-09,19.9,7.5,13.5,19.8,5.8,12.7,0.00
1993-01-10,17.5,7.2,12.7,16.5,5.5,11.7,0.00
1993-01-11,17.7,7.8,12.8,16.7,6.4,11.9,0.00
1993-01-12,18.9,8.0,13.3,18.2,6.2,12.2,0.00
1993-01-13,16.8,6.7,11.4,15.4,4.8,9.8,0.00
1993-01-14,17.3,5.8,11.0,15.6,3.7,9.1,0.00
1993-01-15,18.3,5.2,11.7,17.7,3.5,10.5,0.00
1993-01-16,20.7,7.2,14.1,20.5,5.3,13.2,0.00
1993-01-17,22.3,9.1,14.9,21.0,7.5,13.5,0.00
1993-01-18,18.6,7.8,12.2,18.1,6.5,11.1,0.00
1993-01-19,17.6,7.3,11.6,16.6,5.8,10.1,0.00
1993-01-20,17.2,6.0,11.3,16.3,3.7,9.6,0.00
1993-01-21,18.6,5.5,11.9,15.8,3.1,9.5,0.00
1993-01-22,18.6,5.1,11.7,16.1,2.5,9.4,0.00
1993-01-23,18.0,6.1,11.6,16.2,3.7,9.5,0.00
1993-01-24,19.1,5.2,12.1,17.8,3.1,10.2,0.00
1993-01-25,18.9,5.0,12.0,17.2,2.6,10.0,0.00
1993-01-26,20.0,6.2,12.9,17.4,3.6,10.8,0.00
1993-01-27,18.7,7.6,12.5,18.2,6.1,11.4,0.00
1993-01-28,20.5,7.6,14.4,20.3,6.2,13.8,0.00
1993-01-29,22.9,8.8,15.8,23.1,7.6,15.5,0.10
1993-01-30,23.6,10.8,16.5,23.1,9.5,16.0,4.40
1993-01-31,22.1,8.4,14.4,21.8,7.1,13.7,1.60
1993-02-01,23.3,7.8,15.9,23.4,6.4,15.3,0.00
1993-02-02,22.5,8.3,15.7,23.0,7.3,15.5,0.00
1993-02-03,23.5,9.1,16.6,24.2,8.2,16.5,0.00
1993-02-04,24.1,9.4,17.2,24.8,8.9,17.2,0.00
1993-02-05,24.4,10.3,17.4,25.0,9.9,17.5,0.00
1993-02-06,24.9,10.5,17.8,26.0,10.0,18.3,0.00
1993-02-07,25.8,11.3,18.7,27.3,10.9,19.4,0.00
1993-02-08,25.2,12.7,19.0,26.3,12.5,19.7,0.00
1993-02-09,25.5,13.7,20.1,26.4,13.7,20.9,0.00
1993-02-10,25.7,15.2,20.7,25.9,15.9,21.6,0.00
1993-02-11,25.6,16.2,21.0,27.0,17.2,22.3,0.00
1993-02-12,25.7,16.6,21.3,26.0,17.9,22.6,0.00
1993-02-13,26.2,13.5,19.9,28.1,13.1,21.0,0.00
1993-02-14,26.2,12.3,18.9,27.5,11.9,19.1,0.00
1993-02-15,27.2,12.7,20.3,28.8,12.2,20.9,0.00
1993-02-16,29.0,13.0,21.4,28.7,12.7,21.2,0.00
1993-02-17,29.5,13.6,21.2,30.3,12.9,20.5,0.00
1993-02-18,27.8,12.9,19.9,27.6,11.5,19.0,0.40
1993-02-19,26.0,11.8,18.6,24.6,10.1,16.5,0.00
1993-02-20,23.4,10.6,17.1,21.0,8.7,14.7,0.00
1993-02-21,22.2,8.9,15.5,20.8,7.3,13.7,0.00
1993-02-22,22.6,7.8,16.0,20.7,5.9,13.8,0.00
1993-02-23,23.6,9.8,16.9,22.4,8.5,15.4,0.00
1993-02-24,24.9,10.2,19.1,24.1,8.8,17.9,1.60
1993-02-25,22.2,13.1,17.3,21.0,12.4,16.7,1.30
1993-02-26,26.0,13.2,17.7,26.6,12.7,18.0,1.80
1993-02-27,24.8,11.3,18.0,25.8,10.7,18.0,0.00
1993-02-28,24.7,10.9,18.3,25.2,9.9,18.4,1.10
1993-03-01,20.0,11.0,15.8,20.8,10.3,16.3,12.00
1993-03-02,24.4,10.4,17.7,25.0,9.6,17.3,0.00
1993-03-03,26.1,9.8,18.6,26.2,8.8,17.9,0.00
1993-03-04,26.1,10.8,18.9,25.5,9.6,18.2,0.00
1993-03-05,26.2,10.9,19.0,25.8,9.8,18.4,0.00
1993-03-06,26.5,10.5,19.0,27.3,9.7,18.8,0.00
1993-03-07,27.9,11.0,19.8,28.1,10.4,19.6,0.00
1993-03-08,28.4,11.5,20.7,28.8,11.0,20.4,0.00
1993-03-09,29.3,13.4,22.1,29.3,13.1,21.8,0.00
1993-03-10,29.6,13.4,21.2,29.9,13.5,21.1,0.30
1993-03-11,31.0,13.7,22.6,31.6,12.7,22.0,0.00
1993-03-12,30.6,14.4,22.5,30.6,13.6,22.5,0.20
